iter	Passed	Remaining
0	10	20978
1	21	21925
2	33	22611
3	46	23058
4	56	22729
5	67	22501
6	78	22449
7	88	22124
8	101	22453
9	110	21992
10	130	23523
11	142	23549
12	152	23273
13	167	23797
14	181	24014
15	192	23902
16	203	23747
17	214	23610
18	225	23472
19	234	23247
20	243	22918
21	252	22684
22	263	22613
23	272	22428
24	280	22195
25	291	22147
26	301	22037
27	310	21901
28	319	21694
29	330	21678
30	340	21624
31	351	21639
32	362	21583
33	372	21528
34	382	21455
35	392	21389
36	401	21282
37	411	21231
38	421	21203
39	431	21145
40	439	21010
41	448	20925
42	458	20861
43	468	20813
44	477	20760
45	489	20777
46	501	20828
47	515	20980
48	526	20954
49	535	20899
50	544	20819
51	555	20828
52	565	20789
53	576	20787
54	589	20853
55	602	20929
56	613	20921
57	628	21054
58	637	20985
59	647	20930
60	658	20938
61	669	20941
62	679	20902
63	691	20911
64	706	21026
65	721	21150
66	732	21135
67	741	21074
68	753	21085
69	764	21086
70	777	21132
71	791	21184
72	806	21280
73	820	21348
74	833	21382
75	844	21370
76	855	21360
77	866	21363
78	880	21408
79	893	21446
80	908	21522
81	921	21550
82	936	21622
83	947	21618
84	957	21582
85	966	21507
86	975	21455
87	985	21419
88	995	21367
89	1004	21320
90	1016	21321
91	1026	21292
92	1036	21245
93	1044	21180
94	1054	21151
95	1065	21133
96	1077	21145
97	1089	21143
98	1098	21093
99	1109	21082
100	1120	21062
101	1130	21029
102	1139	20987
103	1149	20960
104	1158	20915
105	1168	20883
106	1180	20892
107	1190	20861
108	1202	20867
109	1213	20857
110	1224	20842
111	1234	20802
112	1244	20776
113	1253	20745
114	1262	20699
115	1274	20692
116	1284	20666
117	1293	20626
118	1301	20573
119	1311	20545
120	1321	20514
121	1330	20484
122	1340	20449
123	1351	20448
124	1360	20411
125	1370	20379
126	1380	20353
127	1389	20315
128	1398	20286
129	1409	20272
130	1423	20312
131	1433	20289
132	1449	20352
133	1461	20346
134	1470	20309
135	1481	20303
136	1492	20289
137	1501	20259
138	1510	20229
139	1521	20210
140	1531	20192
141	1543	20195
142	1553	20169
143	1563	20149
144	1575	20150
145	1585	20138
146	1596	20126
147	1609	20138
148	1620	20125
149	1635	20169
150	1647	20175
151	1658	20159
152	1668	20143
153	1680	20143
154	1690	20118
155	1699	20088
156	1710	20082
157	1725	20121
158	1741	20158
159	1752	20153
160	1761	20124
161	1774	20129
162	1784	20114
163	1797	20124
164	1807	20101
165	1817	20082
166	1827	20060
167	1838	20043
168	1848	20027
169	1863	20057
170	1874	20048
171	1886	20045
172	1901	20081
173	1916	20108
174	1931	20144
175	1945	20164
176	1954	20133
177	1965	20119
178	1976	20102
179	1985	20075
180	1995	20053
181	2005	20036
182	2015	20009
183	2024	19981
184	2035	19967
185	2047	19966
186	2058	19952
187	2073	19988
188	2083	19964
189	2092	19932
190	2103	19918
191	2113	19902
192	2122	19874
193	2131	19845
194	2140	19813
195	2149	19787
196	2158	19754
197	2173	19781
198	2183	19760
199	2195	19758
200	2209	19779
201	2218	19744
202	2227	19718
203	2238	19706
204	2248	19688
205	2257	19661
206	2275	19710
207	2284	19680
208	2293	19655
209	2308	19677
210	2318	19661
211	2334	19686
212	2345	19678
213	2354	19653
214	2369	19673
215	2382	19678
216	2393	19666
217	2407	19676
218	2418	19664
219	2435	19705
220	2447	19701
221	2463	19731
222	2477	19741
223	2491	19753
224	2503	19747
225	2512	19721
226	2522	19698
227	2533	19691
228	2544	19680
