iter	Passed	Remaining
0	7	5909
1	13	5268
2	20	5377
3	28	5636
4	34	5421
5	39	5257
6	44	5066
7	50	5033
8	55	4913
9	61	4878
10	69	4977
11	78	5128
12	86	5242
13	91	5153
14	97	5080
15	102	5009
16	108	4985
17	114	4975
18	120	4959
19	126	4942
20	132	4921
21	139	4917
22	144	4893
23	151	4901
24	158	4901
25	164	4893
26	170	4876
27	175	4845
28	181	4812
29	186	4788
30	192	4773
31	198	4761
32	204	4755
33	211	4757
34	217	4758
35	222	4722
36	227	4692
37	233	4679
38	239	4679
39	246	4679
40	251	4664
41	256	4635
42	261	4607
43	266	4578
44	271	4558
45	277	4549
46	284	4554
47	289	4537
48	294	4516
49	299	4492
50	305	4480
51	310	4472
52	315	4451
53	320	4428
54	325	4406
55	330	4386
56	335	4375
57	340	4362
58	346	4348
59	351	4336
60	356	4319
61	362	4310
62	367	4294
63	371	4277
64	377	4270
65	382	4257
66	387	4242
67	392	4227
68	397	4213
69	403	4204
70	408	4196
71	414	4189
72	419	4174
73	423	4157
74	428	4145
75	434	4137
76	440	4140
77	447	4143
78	453	4141
79	459	4138
80	465	4136
81	472	4135
82	479	4143
83	485	4141
84	491	4137
85	497	4127
86	502	4119
87	508	4114
88	515	4117
89	521	4113
90	526	4104
91	532	4095
92	537	4089
93	545	4096
94	553	4106
95	563	4130
96	571	4141
97	580	4156
98	587	4159
99	594	4158
100	602	4172
101	611	4183
102	618	4188
103	624	4179
104	633	4189
105	641	4200
106	650	4215
107	657	4213
108	663	4208
109	673	4225
110	680	4222
111	689	4232
112	695	4228
113	704	4239
114	711	4237
115	721	4255
116	727	4248
117	736	4254
118	744	4261
119	751	4260
120	756	4246
121	763	4240
122	769	4237
123	776	4234
124	783	4231
125	790	4230
126	797	4223
127	803	4219
128	808	4207
129	814	4199
130	821	4194
131	826	4182
132	833	4181
133	839	4171
134	845	4166
135	851	4156
136	856	4143
137	861	4135
138	869	4134
139	878	4141
140	885	4138
141	891	4132
142	901	4139
143	909	4141
144	917	4144
145	924	4139
146	929	4128
147	935	4119
148	941	4113
149	947	4104
150	952	4092
151	957	4080
152	962	4069
153	968	4063
154	977	4068
155	987	4074
156	993	4067
157	999	4060
158	1004	4051
159	1011	4044
160	1017	4039
161	1024	4035
162	1030	4028
163	1036	4020
164	1042	4011
165	1047	4000
166	1052	3989
167	1057	3978
168	1062	3968
169	1067	3956
170	1073	3948
171	1078	3939
172	1084	3931
173	1091	3927
174	1097	3920
175	1103	3913
176	1109	3906
177	1116	3900
178	1121	3892
179	1127	3883
180	1133	3876
181	1138	3866
182	1143	3855
183	1149	3848
184	1156	3843
185	1162	3836
186	1167	3827
187	1173	3820
188	1179	3812
189	1184	3803
190	1189	3793
191	1195	3785
192	1201	3779
193	1208	3773
194	1214	3768
195	1221	3764
196	1227	3757
197	1234	3752
198	1239	3742
199	1244	3732
200	1249	3724
201	1255	3717
202	1262	3713
203	1268	3706
204	1274	3700
205	1281	3694
206	1287	3688
207	1293	3681
208	1299	3673
209	1304	3664
210	1309	3655
211	1314	3644
212	1319	3636
213	1325	3628
214	1330	3619
215	1335	3611
216	1341	3602
217	1345	3592
218	1350	3583
219	1359	3584
220	1365	3577
221	1370	3568
222	1378	3567
223	1383	3558
224	1388	3549
225	1394	3541
226	1399	3533
227	1406	3528
228	1411	3520
229	1418	3515
230	1424	3509
231	1430	3502
232	1436	3494
233	1442	3488
234	1447	3481
235	1453	3472
236	1458	3465
237	1463	3456
238	1468	3447
239	1474	3440
240	1479	3432
241	1484	3423
242	1489	3415
243	1495	3407
244	1500	3399
245	1506	3392
246	1511	3384
247	1516	3375
248	1521	3367
249	1527	3361
250	1533	3353
251	1538	3346
252	1544	3338
253	1550	3332
254	1557	3328
255	1562	3320
256	1568	3314
257	1573	3305
258	1579	3298
259	1584	3291
260	1590	3285
261	1596	3279
262	1603	3274
263	1614	3278
264	1622	3274
265	1627	3268
266	1634	3262
267	1642	3259
268	1649	3255
269	1657	3253
270	1665	3250
271	1673	3248
272	1680	3244
273	1689	3242
274	1697	3241
275	1704	3236
276	1711	3231
277	1718	3227
278	1725	3222
279	1731	3214
280	1736	3206
281	1743	3202
282	1750	3198
283	1757	3193
284	1762	3185
285	1768	3178
286	1774	3171
287	1782	3168
288	1789	3163
289	1796	3158
290	1803	3154
291	1809	3148
292	1819	3148
293	1828	3146
294	1836	3143
295	1845	3141
296	1851	3135
297	1857	3128
298	1861	3119
299	1867	3111
300	1872	3103
301	1878	3097
302	1885	3093
303	1892	3087
304	1898	3081
305	1904	3073
306	1909	3066
307	1915	3060
308	1922	3054
309	1928	3048
310	1935	3042
311	1941	3036
312	1947	3030
313	1952	3022
314	1958	3014
315	1964	3008
316	1969	3001
317	1976	2995
318	1983	2991
319	1990	2985
320	1998	2982
321	2004	2975
322	2013	2973
323	2021	2969
324	2027	2963
325	2036	2960
326	2043	2956
327	2051	2952
328	2058	2947
329	2064	2940
330	2073	2937
331	2079	2931
332	2086	2926
333	2097	2925
334	2102	2918
335	2109	2912
336	2116	2908
337	2123	2903
338	2129	2895
339	2136	2890
340	2144	2886
341	2151	2880
342	2158	2876
343	2165	2870
344	2172	2865
345	2179	2859
346	2188	2857
347	2195	2851
348	2204	2849
349	2212	2845
350	2220	2840
351	2232	2841
352	2240	2837
353	2245	2828
354	2253	2825
355	2259	2818
356	2267	2813
357	2274	2808
358	2281	2802
359	2288	2796
360	2295	2791
361	2302	2786
362	2309	2779
363	2317	2776
364	2324	2769
365	2332	2765
366	2341	2763
367	2351	2760
368	2356	2752
369	2363	2747
370	2369	2740
371	2378	2736
372	2383	2729
373	2392	2724
374	2400	2720
375	2407	2714
376	2414	2709
377	2422	2704
378	2428	2697
379	2434	2691
380	2441	2684
381	2445	2676
382	2451	2668
383	2457	2661
384	2461	2653
385	2467	2646
386	2473	2639
387	2479	2632
388	2485	2625
389	2491	2619
390	2498	2613
391	2506	2608
392	2512	2602
393	2518	2595
394	2525	2588
395	2530	2581
396	2536	2574
397	2542	2567
398	2548	2560
399	2553	2553
400	2559	2546
401	2564	2539
402	2570	2532
403	2575	2524
404	2580	2517
405	2586	2509
406	2591	2502
407	2596	2495
408	2602	2487
409	2607	2480
410	2613	2473
411	2619	2466
412	2624	2459
413	2630	2452
414	2635	2445
415	2643	2439
416	2650	2434
417	2657	2428
418	2664	2422
419	2670	2415
420	2676	2409
421	2681	2402
422	2686	2394
423	2692	2387
424	2698	2380
425	2703	2373
426	2708	2366
427	2714	2359
428	2721	2353
429	2727	2347
430	2734	2341
431	2741	2335
432	2748	2329
433	2754	2322
434	2759	2315
435	2765	2308
436	2771	2302
437	2779	2297
438	2789	2293
439	2795	2287
440	2805	2283
441	2813	2278
442	2820	2272
443	2828	2267
444	2834	2260
445	2843	2256
446	2850	2250
447	2859	2246
448	2866	2240
449	2873	2235
450	2881	2229
451	2887	2223
452	2898	2219
453	2904	2213
454	2914	2209
455	2920	2202
456	2929	2198
457	2935	2191
458	2940	2184
459	2945	2177
460	2950	2169
461	2955	2162
462	2961	2155
463	2967	2148
464	2974	2142
465	2980	2136
466	2987	2129
467	2993	2123
468	3000	2117
469	3007	2111
470	3014	2105
471	3020	2098
472	3025	2091
473	3031	2084
474	3037	2078
